Categoria: Todas as categorias

Região,citroen c3: (07/07/25 – 07/07/26)
Açores,100
Santarém,89
Vila Real,80
Portalegre,80
Viseu,78
Évora,77
Viana do Castelo,74
Beja,73
Setúbal,73
Castelo Branco,72
Braga,69
Coimbra,68
Faro,66
Leiria,65
Aveiro,64
Porto,57
Lisboa,57
Guarda,55
Madeira,45
Bragança,44
