Categoria: Todas as categorias

Região,audi eletrico: (07/07/25 – 07/07/26)
Vila Real,100
Castelo Branco,90
Braga,90
Porto,73
Aveiro,69
Leiria,60
Coimbra,57
Viana do Castelo,57
Viseu,57
Setúbal,52
Lisboa,41
Santarém,38
Faro,28
Beja,
Bragança,
Évora,
Guarda,
Portalegre,
Açores,
Madeira,
