Categoria: Todas as categorias

Região,citroen concessionario: (07/07/25 – 07/07/26)
Lisboa,100
Aveiro,
Beja,
Braga,
Bragança,
Castelo Branco,
Coimbra,
Évora,
Faro,
Guarda,
Leiria,
Portalegre,
Porto,
Santarém,
Setúbal,
Viana do Castelo,
Vila Real,
Viseu,
Açores,
Madeira,
