Categoria: Todas as categorias

Região,audi: (07/07/25 – 07/07/26)
Viseu,100
Guarda,96
Braga,94
Bragança,92
Aveiro,90
Vila Real,87
Viana do Castelo,85
Santarém,81
Portalegre,80
Leiria,79
Porto,78
Madeira,78
Coimbra,77
Beja,75
Castelo Branco,70
Faro,66
Évora,65
Lisboa,64
Setúbal,63
Açores,57
