Categoria: Todas as categorias

Região,byd elétrico: (07/07/25 – 07/07/26)
Coimbra,100
Braga,85
Leiria,76
Aveiro,70
Viseu,70
Setúbal,69
Santarém,63
Porto,63
Lisboa,51
Faro,44
Madeira,11
Beja,
Bragança,
Castelo Branco,
Évora,
Guarda,
Portalegre,
Viana do Castelo,
Vila Real,
Açores,
