Categoria: Todas as categorias

Região,volkswagen: (07/07/25 – 07/07/26)
Madeira,100
Bragança,60
Portalegre,60
Beja,60
Guarda,58
Vila Real,53
Setúbal,53
Viana do Castelo,52
Lisboa,51
Santarém,51
Viseu,50
Leiria,50
Açores,50
Évora,48
Castelo Branco,48
Porto,45
Braga,43
Faro,42
Coimbra,42
Aveiro,42
