snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url
2026-07-08,2772872710,74UA37,Isuzu,D-Max D-MAX 1.9 CAB DUPLA 4X4 L,2017,Diesel,204000,23450,163,Manual,Isuzu,Beja,Beja,22/12/2017,https://www.amatoscar.pt/carro-usado/isuzu-d-max-d-max-1-9-cab-dupla-4x4-l-2772872710/
2026-07-08,2772804689,AJ27CL,Ford,Fiesta 1.0 EcoBoost Hybrid mHEV 125 ST-LINE,2021,Gasolina,,14950,125,Manual,Hyundai,Beja,Beja,26/08/2021,https://www.amatoscar.pt/carro-usado/ford-fiesta-1-0-ecoboost-hybrid-mhev-125-st-line-2772804689/
2026-07-08,2772828623,BS83AH,Volvo,XC60 2.0 T6 350 AWD PHEV Core Auto,2025,Híbrido,123456,51950,350,Automática,Volvo,Castelo Branco,Castelo Branco,25/03/2025,https://www.amatoscar.pt/carro-usado/volvo-xc60-2-0-t6-350-awd-phev-core-auto-2772828623/
2026-07-08,2772319239,BU01XN,Volvo,XC40 B3 163cv Plus Dark Auto,2025,Híbrido,30000,38450,163,Automática,Volvo,Castelo Branco,Castelo Branco,01/07/2025,https://www.amatoscar.pt/carro-usado/volvo-xc40-b3-163cv-plus-dark-auto-2772319239/
2026-07-08,2772319238,BU88XM,Volvo,XC40 B3 163cv Plus Dark Auto,2025,Híbrido,25013,38450,163,Automática,Volvo,Castelo Branco,Castelo Branco,01/07/2025,https://www.amatoscar.pt/carro-usado/volvo-xc40-b3-163cv-plus-dark-auto-2772319238/
2026-07-08,2772319236,BT88IF,Volvo,XC60 2.0 T6 350 AWD PHEV Plus Dark Auto,2025,Híbrido,24808,54750,350,Automática,Volvo,Castelo Branco,Castelo Branco,15/05/2025,https://www.amatoscar.pt/carro-usado/volvo-xc60-2-0-t6-350-awd-phev-plus-dark-auto-2772319236/
2026-07-08,2772817124,BT36IX,Kia,Stonic 1.0 T-GDi 6MT DRIVE,2025,Gasolina,24163,18450,100,Manual,KIA,Fundão,Castelo Branco,16/05/2025,https://www.amatoscar.pt/carro-usado/kia-stonic-1-0-t-gdi-6mt-drive-2772817124/
2026-07-08,2772789746,BC72SM,Toyota,Yaris 1.0 Comfort Plus,2023,Gasolina,29053,17950,72,Manual,KIA,Fundão,Castelo Branco,27/07/2023,https://www.amatoscar.pt/carro-usado/toyota-yaris-1-0-comfort-plus-2772789746/
2026-07-08,2772789745,51XJ70,Renault,Twingo 1.0 SCe 70 S/S Limited,2019,Gasolina,81488,8950,70,Manual,KIA,Fundão,Castelo Branco,12/04/2019,https://www.amatoscar.pt/carro-usado/renault-twingo-1-0-sce-70-s-s-limited-2772789745/
2026-07-08,2772343751,BS04IN,Kia,XCeed 1.0 T-GDi 6MT DYNAMIC,2025,Gasolina,26108,20750,100,Manual,KIA,Fundão,Castelo Branco,03/04/2025,https://www.amatoscar.pt/carro-usado/kia-xceed-1-0-t-gdi-6mt-dynamic-2772343751/
2026-07-08,2772343748,BT89NN,Kia,cee’d 1.0 T-GDi 6MT DRIVE,2025,Gasolina,6283,20450,100,Manual,KIA,Fundão,Castelo Branco,22/05/2025,https://www.amatoscar.pt/carro-usado/kia-ceed-1-0-t-gdi-6mt-drive-2772343748/
2026-07-08,2772197957,BR72DG,Kia,Stonic 1.0 T-GDi 6MT DRIVE,2025,Gasolina,17672,17950,100,Manual,KIA,Fundão,Castelo Branco,21/02/2025,https://www.amatoscar.pt/carro-usado/kia-stonic-1-0-t-gdi-6mt-drive-2772197957/
2026-07-08,2772885826,AL39XF,Skoda,Kodiaq 2.0TDI 150cv STYLE DSG,2021,Diesel,72033,27450,150,Automática,Skoda,Évora,Évora,16/12/2021,https://www.amatoscar.pt/carro-usado/skoda-kodiaq-2-0tdi-150cv-style-dsg-2772885826/
2026-07-08,2772861074,BU09CH,BMW,Serie 7 740d xDrive 48V,2025,Diesel,6520,124950,299,Automática,BMW,Évora,Évora,09/06/2025,https://www.amatoscar.pt/carro-usado/bmw-serie-7-740d-xdrive-48v-2772861074/
2026-07-08,2772861072,AV33FJ,Hyundai,i20 1.2 MPi Comfort MY21,2022,Gasolina,49824,14950,84,Manual,Hyundai,Évora,Évora,14/12/2022,https://www.amatoscar.pt/carro-usado/hyundai-i20-1-2-mpi-comfort-my21-2772861072/
2026-07-08,2772828615,BT24US,Hyundai,i10 1.0 MPi Comfort MY25 (TT),2025,Gasolina,14477,17450,62,Manual,Hyundai,Évora,Évora,30/05/2025,https://www.amatoscar.pt/carro-usado/hyundai-i10-1-0-mpi-comfort-my25-tt-2772828615/
2026-07-08,2772828611,BI32JD,Hyundai,i20 1.2 MPi Comfort MY24,2024,Gasolina,38949,17450,84,Manual,Hyundai,Évora,Évora,27/03/2024,https://www.amatoscar.pt/carro-usado/hyundai-i20-1-2-mpi-comfort-my24-2772828611/
2026-07-08,2772823918,AU18BV,SEAT,Arona 1.0 TSI STYLE 6v,2022,Gasolina,139394,13950,110,Manual,Seat,Évora,Évora,27/10/2022,https://www.amatoscar.pt/carro-usado/seat-arona-1-0-tsi-style-6v-2772823918/
2026-07-08,2772819554,BF86GG,BMW,i4 eDrive40,2023,Eletrico,66590,43990,340,Automática,BMW,Évora,Évora,20/11/2023,https://www.amatoscar.pt/carro-usado/bmw-i4-edrive40-2772819554/
2026-07-08,2772804685,BO85SG,Hyundai,Bayon 1.0 T-GDi Premium MY25 (TT),2024,Gasolina,28453,20750,100,Manual,Hyundai,Évora,Évora,08/11/2024,https://www.amatoscar.pt/carro-usado/hyundai-bayon-1-0-t-gdi-premium-my25-tt-2772804685/
