snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url,registo_completo
2026-09-14,2772290428,47SR11,BMW,Serie 3 M3,2017,Gasolina,46284,76450,431,Automática,BMW,Guarda,Guarda,13/03/2017,https://www.amatoscar.pt/carro-usado/bmw-serie-3-m3-2772290428/,1
2026-09-14,2772222787,BL47CD,BMW,Serie 1 116d,2024,Diesel,62532,28450,116,Automática,BMW,Guarda,Guarda,31/05/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-1-116d-2772222787/,1
2026-09-14,2772205734,BG64VT,BMW,X3 sDrive18d Auto 48V,2024,Gasolina,25849,55500,150,Automática,BMW,Guarda,Guarda,01/02/2024,https://www.amatoscar.pt/carro-usado/bmw-x3-sdrive18d-auto-48v-2772205734/,1
2026-09-14,2772161287,BL62CC,BMW,Serie 1 116d,2024,Diesel,51149,28450,116,Automática,BMW,Guarda,Guarda,31/05/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-1-116d-2772161287/,1
2026-09-14,2772161285,BI27MQ,BMW,Serie 3 320d Auto 48V,2024,Diesel,52016,41450,190,Automática,BMW,Guarda,Guarda,28/03/2024,https://www.amatoscar.pt/carro-usado/bmw-serie-3-320d-auto-48v-2772161285/,1
2026-09-14,2772907670,67VM53,Volvo,XC40 2.0 D3 150 Inscription,2018,Diesel,144188,23950,150,Manual,Volkswagen,Castelo Branco,Castelo Branco,04/10/2018,https://www.amatoscar.pt/carro-usado/volvo-xc40-2-0-d3-150-inscription-2772907670/,1
2026-09-14,2772906037,BN76BX,Audi,A3 Sportback 30 TFSI Advanced,2024,Gasolina,19947,26950,116,Manual,Volkswagen,Castelo Branco,Castelo Branco,29/08/2024,https://www.amatoscar.pt/carro-usado/audi-a3-sportback-30-tfsi-advanced-2772906037/,1
2026-09-14,2772861089,50VO68,Mini,Mini Cooper D,2018,Diesel,106454,15650,116,Manual,Volkswagen,Castelo Branco,Castelo Branco,26/10/2018,https://www.amatoscar.pt/carro-usado/mini-mini-cooper-d-2772861089/,1
2026-09-14,2772819562,AB55ON,Peugeot,3008 GT Line 1.5 BlueHDi 130 Eu 6.2d EAT8,2020,Diesel,138903,18950,130,Automática,Volkswagen,Castelo Branco,Castelo Branco,06/07/2020,https://www.amatoscar.pt/carro-usado/peugeot-3008-gt-line-1-5-bluehdi-130-eu-6-2d-eat8-2772819562/,1
2026-09-14,2772904399,AT97BS,Nissan,Micra 1.0 IG-T 92CV N-Design Chrome,2022,Gasolina,51250,14650,92,Manual,Hyundai,Beja,Beja,05/09/2022,https://www.amatoscar.pt/carro-usado/nissan-micra-1-0-ig-t-92cv-n-design-chrome-2772904399/,1
