Categoria: Todas as categorias

Região,byd concessionário: (07/07/25 – 07/07/26)
Aveiro,
Beja,
Braga,
Bragança,
Castelo Branco,
Coimbra,
Évora,
Faro,
Guarda,
Leiria,
Lisboa,
Portalegre,
Porto,
Santarém,
Setúbal,
Viana do Castelo,
Vila Real,
Viseu,
Açores,
Madeira,
