Categoria: Todas as categorias

Região,bmw: (07/07/25 – 07/07/26)
Viseu,100
Braga,99
Vila Real,96
Porto,92
Viana do Castelo,92
Leiria,91
Santarém,89
Aveiro,89
Guarda,85
Bragança,83
Coimbra,76
Portalegre,73
Faro,70
Castelo Branco,69
Setúbal,69
Beja,68
Lisboa,64
Madeira,59
Évora,57
Açores,52
