Categoria: Todas as categorias

Região,citroen: (07/07/25 – 07/07/26)
Açores,100
Viseu,99
Viana do Castelo,97
Beja,95
Santarém,95
Guarda,95
Portalegre,92
Castelo Branco,91
Braga,91
Vila Real,90
Setúbal,87
Évora,84
Aveiro,83
Porto,77
Bragança,77
Madeira,76
Leiria,75
Coimbra,73
Faro,71
Lisboa,69
