Categoria: Todas as categorias

Região,citroen elétrico: (07/07/25 – 07/07/26)
Aveiro,100
Viseu,92
Santarém,71
Braga,61
Coimbra,61
Porto,60
Setúbal,51
Faro,50
Leiria,50
Lisboa,32
Açores,4
Beja,
Bragança,
Castelo Branco,
Évora,
Guarda,
Portalegre,
Viana do Castelo,
Vila Real,
Madeira,
