Categoria: Todas as categorias

Região,byd: (07/07/25 – 07/07/26)
Braga,100
Porto,96
Aveiro,93
Leiria,89
Coimbra,89
Setúbal,86
Lisboa,85
Viseu,85
Évora,84
Santarém,83
Vila Real,80
Guarda,80
Açores,76
Faro,74
Castelo Branco,73
Portalegre,71
Viana do Castelo,67
Beja,60
Bragança,59
Madeira,50
