Categoria: Todas as categorias

Região,volkswagen t-roc: (07/07/25 – 07/07/26)
Madeira,100
Viseu,96
Braga,93
Aveiro,87
Faro,86
Setúbal,81
Lisboa,76
Leiria,74
Porto,72
Coimbra,58
Santarém,41
Beja,
Bragança,
Castelo Branco,
Évora,
Guarda,
Portalegre,
Viana do Castelo,
Vila Real,
Açores,
