Categoria: Todas as categorias

Região,byd atto 3: (07/07/25 – 07/07/26)
Aveiro,100
Braga,87
Setúbal,82
Porto,80
Coimbra,77
Évora,72
Lisboa,72
Viseu,72
Leiria,67
Santarém,66
Faro,55
Vila Real,54
Açores,54
Castelo Branco,53
Viana do Castelo,46
Madeira,40
Beja,38
Bragança,
Guarda,
Portalegre,
